file_path,line,tag,attribute,url,domain,category
./pages/apps/index.php,2713,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signInGate,account.samsung.com,Samsung account (leaves site)
./pages/apps/index.php,2724,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signOutGate,account.samsung.com,Samsung account (leaves site)
./pages/apps/index.php,2730,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/apps/index.php,2744,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/apps/index.php,2756,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/apps/samsung-health/index.php,2717,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signInGate,account.samsung.com,Samsung account (leaves site)
./pages/apps/samsung-health/index.php,2728,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signOutGate,account.samsung.com,Samsung account (leaves site)
./pages/apps/samsung-health/index.php,2734,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/apps/samsung-health/index.php,2748,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/apps/samsung-health/index.php,2760,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/audio-sound/all-audio-sound/index.php,2677,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signInGate,account.samsung.com,Samsung account (leaves site)
./pages/audio-sound/all-audio-sound/index.php,2688,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signOutGate,account.samsung.com,Samsung account (leaves site)
./pages/audio-sound/all-audio-sound/index.php,2694,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/audio-sound/all-audio-sound/index.php,2708,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/audio-sound/all-audio-sound/index.php,2720,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/audio-sound/galaxy-buds/galaxy-buds4-pro-black-sm-r640nzkamea/index.php,2813,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signInGate,account.samsung.com,Samsung account (leaves site)
./pages/audio-sound/galaxy-buds/galaxy-buds4-pro-black-sm-r640nzkamea/index.php,2824,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signOutGate,account.samsung.com,Samsung account (leaves site)
./pages/audio-sound/galaxy-buds/galaxy-buds4-pro-black-sm-r640nzkamea/index.php,2830,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/audio-sound/galaxy-buds/galaxy-buds4-pro-black-sm-r640nzkamea/index.php,2844,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/audio-sound/galaxy-buds/galaxy-buds4-pro-black-sm-r640nzkamea/index.php,2856,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/business/index.php,1696,a,href,https://account.samsung.com/membership/contents/profile/profile-gate,account.samsung.com,Samsung account (leaves site)
./pages/business/index.php,1760,a,href,https://account.samsung.com/membership/contents/profile/profile-gate,account.samsung.com,Samsung account (leaves site)
./pages/business/index.php,1833,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/business/index.php,1847,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/business/index.php,1859,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/buy-direct-get-more/index.php,2707,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signInGate,account.samsung.com,Samsung account (leaves site)
./pages/buy-direct-get-more/index.php,2718,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signOutGate,account.samsung.com,Samsung account (leaves site)
./pages/buy-direct-get-more/index.php,2724,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/buy-direct-get-more/index.php,2738,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/buy-direct-get-more/index.php,2750,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/dishwashers/all-dishwashers/index.php,2686,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signInGate,account.samsung.com,Samsung account (leaves site)
./pages/dishwashers/all-dishwashers/index.php,2697,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signOutGate,account.samsung.com,Samsung account (leaves site)
./pages/dishwashers/all-dishwashers/index.php,2703,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/dishwashers/all-dishwashers/index.php,2717,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/dishwashers/all-dishwashers/index.php,2729,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/dishwashers/built-in/dw7700b-dw60dg790i00-energy-efficiency-waterjet-clean-14-place-settings-silver-dw60dg790fslgu/index.php,2811,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signInGate,account.samsung.com,Samsung account (leaves site)
./pages/dishwashers/built-in/dw7700b-dw60dg790i00-energy-efficiency-waterjet-clean-14-place-settings-silver-dw60dg790fslgu/index.php,2822,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signOutGate,account.samsung.com,Samsung account (leaves site)
./pages/dishwashers/built-in/dw7700b-dw60dg790i00-energy-efficiency-waterjet-clean-14-place-settings-silver-dw60dg790fslgu/index.php,2828,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/dishwashers/built-in/dw7700b-dw60dg790i00-energy-efficiency-waterjet-clean-14-place-settings-silver-dw60dg790fslgu/index.php,2842,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/dishwashers/built-in/dw7700b-dw60dg790i00-energy-efficiency-waterjet-clean-14-place-settings-silver-dw60dg790fslgu/index.php,2854,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/explore/index.php,2674,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signInGate,account.samsung.com,Samsung account (leaves site)
./pages/explore/index.php,2685,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signOutGate,account.samsung.com,Samsung account (leaves site)
./pages/explore/index.php,2691,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/explore/index.php,2705,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/explore/index.php,2717,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/function/ipredirection/ipredirectionLocalList/index.php,2693,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signInGate,account.samsung.com,Samsung account (leaves site)
./pages/function/ipredirection/ipredirectionLocalList/index.php,2704,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signOutGate,account.samsung.com,Samsung account (leaves site)
./pages/function/ipredirection/ipredirectionLocalList/index.php,2710,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/function/ipredirection/ipredirectionLocalList/index.php,2724,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/function/ipredirection/ipredirectionLocalList/index.php,2736,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/galaxy-ai/index.php,2716,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signInGate,account.samsung.com,Samsung account (leaves site)
./pages/galaxy-ai/index.php,2727,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signOutGate,account.samsung.com,Samsung account (leaves site)
./pages/galaxy-ai/index.php,2733,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/galaxy-ai/index.php,2747,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/galaxy-ai/index.php,2759,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/home-appliances/buying-guide/index.php,2703,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signInGate,account.samsung.com,Samsung account (leaves site)
./pages/home-appliances/buying-guide/index.php,2714,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signOutGate,account.samsung.com,Samsung account (leaves site)
./pages/home-appliances/buying-guide/index.php,2720,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/home-appliances/buying-guide/index.php,2734,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/home-appliances/buying-guide/index.php,2746,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/home-appliances/faq/index.php,2697,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signInGate,account.samsung.com,Samsung account (leaves site)
./pages/home-appliances/faq/index.php,2708,form,action,https://account.samsung.com/accounts/v1/DCGLPK/signOutGate,account.samsung.com,Samsung account (leaves site)
./pages/home-appliances/faq/index.php,2714,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/home-appliances/faq/index.php,2728,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
./pages/home-appliances/faq/index.php,2740,form,action,https://account.samsung.com/membership/,account.samsung.com,Samsung account (leaves site)
